ACCT_CODE,NAME
01-101,H S B C  -MERCH & PARTNERS
01-103,A.B.K.L  -MERCH & PARTNERS
01-105,C. B. Q. CURRENT ACCOUNT
01-106,QNB - MERCH & PARTNERS
01-1061,QNB A/C 2 (E-GOVT)
01-107,AL KHALIJI COMMERCIAL BANK
01-161,COMMERCIAL BANK OF QATAR CALL A/C
01-162,AL KHALIJI-CALL A/C
01-169,HSBC MARGIN DEPOSIT
01-201,H S B C  -CIL A/C
01-203,A.B.K.L  -TRUST A/C
01-205,C.B.Q -TRUST A/C
01-207,AL KHALIJI-TRUST ACCOUNT
01-301,HSBC BGTY-CUSTOM DEPT
01-3011,HSBC BGTY-ITC
01-3012,HSBC BGTY-WOQOD
01-3013,HSBC BGTY-VON EICKEN
01-3014,HSBC-BGTY CUSTOM SELECTIVE TAX
01-305,CBQ BGTY-FERRERO
01-405,C. B. Q. -CAR LOAN A/C
01-601,HSBC-PURCHASE CARD-A RAHIMAN
01-602,HSBC-PURCHASE CARD-JUBAIR
01-6021,CR CARD JUBAIR-A/C 2
01-604,HSBC-PURCHASE CARD-LORENZO
01-6041,CR CARD LORENZO-CUSTOM
01-605,HSBC PURCHASE CARD-JOHN MASSOUD
01-610,HSBC PURCHASE CARD- ZAKARIA
01-611,HSBC PURCHASE CARD-RABEE
